T,SFL,PFE,XOM,MO,VZ,IBM,TSLA,GILD,GE,energy,num_occurrences,constraints,feasible
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
