T,SFL,PFE,XOM,MO,VZ,IBM,TSLA,GILD,GE,energy,num_occurrences,constraints,feasible
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0011693903365152462,1,[ True False],False
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.001258040134328231,1,[ True  True],True
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0017665541178559215,1,[False  True],False
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0011693903365152462,1,[ True False],False
